Subject,Block,Gender,avg_acc,sd_acc,avg_rt,sd_rt
2057,8,Female,0.3,0.466091599699399,1217.22222222222,510.617708706273
2057,9,Female,0.433333333333333,0.504006932993731,1430.84615384615,336.847850459186
2057,10,Female,0.533333333333333,0.507416263404925,1274.3125,487.586535054719
2064,1,Male,0.233333333333333,0.430183067152076,1548.28571428571,184.788811246527
2064,2,Male,0.6,0.49827287912244,1585.72222222222,239.200089896588
2064,3,Male,0.566666666666667,0.504006932993731,1511.94117647059,278.884266002099
2064,4,Male,0.633333333333333,0.490132517853561,1397.89473684211,207.421175051269
2064,5,Male,0.566666666666667,0.504006932993731,1521.41176470588,245.924037769676
2064,6,Male,0.5,0.508547627715608,1411.73333333333,234.109701595112
2064,7,Male,0.6,0.49827287912244,1439.94444444444,307.280188718838
2064,8,Male,0.866666666666667,0.34574590364176,1403.0,257.255981465932
